50.105.048/0001-32,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53.574.521/0001-19,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47.532.825/0001-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47.611.306/0001-48,NULL,NULL,NULL,NULL,NULL,NULL,NULL
07.660.698/0001-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL
03.004.953/0001-16,NULL,NULL,NULL,NULL,NULL,NULL,NULL
04.900.055/0001-09,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50.117.142/0001-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01.035.935/0001-76,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11.957.227/0001-46,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62.017.629/0001-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL
00.066.511/0001-06,NULL,NULL,NULL,NULL,NULL,NULL,NULL
06.255.063/0001-75,NULL,NULL,NULL,NULL,NULL,NULL,NULL
05.351.362/0001-40,NULL,NULL,NULL,NULL,NULL,NULL,NULL
05.932.790/0001-67,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17.019.016/0001-49,NULL,NULL,NULL,NULL,NULL,NULL,NULL
07.920.260/0001-24,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12.015.052/0001-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84.696.178/0001-09,NULL,NULL,NULL,NULL,NULL,NULL,NULL
07.089.893/0001-32,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88.943.311/0015-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
09.628.877/0001-04,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73.670.861/0001-50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28.424.588/0001-20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
02.479.893/0001-25,NULL,NULL,NULL,NULL,NULL,NULL,NULL
00.319.362/0001-40,NULL,NULL,NULL,NULL,NULL,NULL,NULL
00.871.133/0001-33,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62.947.783/0001-72,NULL,NULL,NULL,NULL,NULL,NULL,NULL
03.083.576/0001-58,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82.614.041/0001-32,NULL,NULL,NULL,NULL,NULL,NULL,NULL
04.235.334/0001-03,NULL,NULL,NULL,NULL,NULL,NULL,NULL
09.151.473/0001-64,NULL,NULL,NULL,NULL,NULL,NULL,NULL
05.502.248/0001-74,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29.229.861/0001-28,NULL,NULL,NULL,NULL,NULL,NULL,NULL
04.510.468/0002-68,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19.998.046/0001-70,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01.981.349/0001-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91.156.901/0001-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL
04.540.960/0001-03,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62.201.116/0001-46,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11.115.471/0001-61,NULL,NULL,NULL,NULL,NULL,NULL,NULL
07.757.642/0001-89,NULL,NULL,NULL,NULL,NULL,NULL,NULL
07.172.800/0001-39,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95.063.343/0001-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL
00.006.558/0001-84,NULL,NULL,NULL,NULL,NULL,NULL,NULL
08.209.941/0001-41,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96.573.803/0001-04,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50.187.889/0001-36,NULL,NULL,NULL,NULL,NULL,NULL,NULL
